Year	Date	Temperature(F)
1992	0801	91.0
1992	0802	91.9
1992	0803	89.1
1992	0804	86.0
1992	0805	90.0
1992	0806	86.0
1992	0807	91.0
1992	0808	86.0
1992	0809	90.0
1992	0810	88.0
1992	0811	91.0
1992	0812	88.0
1992	0813	87.1
1992	0814	78.1
1992	0815	81.0
1992	0816	86.0
1992	0817	84.9
1992	0818	89.1
1992	0819	88.0
1992	0820	89.1
1992	0821	88.0
1992	0822	89.1
1992	0823	88.0
1992	0824	86.0
1992	0825	90.0
1992	0826	89.1
1992	0827	91.0
1992	0828	82.0
1992	0829	79.0
1992	0830	88.0
1992	0831	87.1
1993	0801	93.9
1993	0802	96.1
1993	0803	93.9
1993	0804	95.0
1993	0805	93.0
1993	0806	97.0
1993	0807	97.0
1993	0808	95.0
1993	0809	93.9
1993	0810	91.9
1993	0811	91.0
1993	0812	93.0
1993	0813	96.1
1993	0814	93.0
1993	0815	91.0
1993	0816	91.9
1993	0817	93.9
1993	0818	96.1
1993	0819	96.1
1993	0820	93.9
1993	0821	93.0
1993	0822	93.9
1993	0823	91.0
1993	0824	91.9
1993	0825	90.0
1993	0826	90.0
1993	0827	87.1
1993	0828	88.0
1993	0829	86.0
1993	0830	89.1
1993	0831	88.0
1994	0801	91.0
1994	0802	90.0
1994	0803	91.0
1994	0804	89.1
1994	0805	91.0
1994	0806	87.1
1994	0807	86.0
1994	0808	82.0
1994	0809	84.9
1994	0810	87.1
1994	0811	87.1
1994	0812	86.0
1994	0813	87.1
1994	0814	87.1
1994	0815	82.9
1994	0816	75.0
1994	0817	84.0
1994	0818	89.1
1994	0819	89.1
1994	0820	89.1
1994	0821	90.0
1994	0822	84.0
1994	0823	84.9
1994	0824	86.0
1994	0825	84.9
1994	0826	84.9
1994	0827	87.1
1994	0828	89.1
1994	0829	89.1
1994	0830	91.0
1994	0831	89.1
1995	0801	89.1
1995	0802	84.9
1995	0803	88.0
1995	0804	89.1
1995	0805	91.9
1995	0806	91.9
1995	0807	93.0
1995	0808	89.1
1995	0809	89.1
1995	0810	89.1
1995	0811	91.9
1995	0812	90.0
1995	0813	91.9
1995	0814	96.1
1995	0815	97.0
1995	0816	93.0
1995	0817	93.9
1995	0818	95.0
1995	0819	91.9
1995	0820	84.9
1995	0821	84.9
1995	0822	87.1
1995	0823	87.1
1995	0824	81.0
1995	0825	82.9
1995	0826	89.1
1995	0827	91.9
1995	0828	90.0
1995	0829	84.0
1995	0830	87.1
1995	0831	87.1
1996	0801	89.2
1996	0802	81.0
1996	0803	79.7
1996	0804	92.1
1996	0805	91.6
1996	0806	92.1
1996	0807	91.4
1996	0808	89.4
1996	0809	90.5
1996	0810	91.8
1996	0811	86.7
1996	0812	77.2
1996	0813	86.0
1996	0814	82.9
1996	0815	86.4
1996	0816	88.7
1996	0817	90.0
1996	0818	89.6
1996	0819	89.1
1996	0820	90.1
1996	0821	89.4
1996	0822	89.2
1996	0823	89.4
1996	0824	89.4
1996	0825	85.3
1996	0826	86.0
1996	0827	89.8
1996	0828	90.1
1996	0829	90.0
1996	0830	86.0
1996	0831	84.6
1997	0801	89.6
1997	0802	88.3
1997	0803	91.0
1997	0804	90.5
1997	0805	91.4
1997	0806	92.1
1997	0807	90.0
1997	0808	87.4
1997	0809	91.4
1997	0810	90.7
1997	0811	87.3
1997	0812	88.0
1997	0813	94.5
1997	0814	91.8
1997	0815	93.7
1997	0816	90.3
1997	0817	92.8
1997	0818	95.0
1997	0819	94.1
1997	0820	93.6
1997	0821	87.3
1997	0822	88.9
1997	0823	89.6
1997	0824	84.9
1997	0825	88.7
1997	0826	88.2
1997	0827	88.3
1997	0828	90.9
1997	0829	92.3
1997	0830	93.0
1997	0831	90.9
1998	0801	87.8
1998	0802	85.5
1998	0803	86.4
1998	0804	89.8
1998	0805	90.5
1998	0806	88.5
1998	0807	89.8
1998	0808	87.1
1998	0809	91.8
1998	0810	92.5
1998	0811	93.2
1998	0812	91.9
1998	0813	87.8
1998	0814	91.0
1998	0815	90.0
1998	0816	93.0
1998	0817	91.9
1998	0818	91.0
1998	0819	89.1
1998	0820	88.0
1998	0821	89.1
1998	0822	89.1
1998	0823	90.0
1998	0824	91.9
1998	0825	91.9
1998	0826	93.2
1998	0827	93.9
1998	0828	95.0
1998	0829	95.0
1998	0830	91.9
1998	0831	93.0
1999	0801	97.0
1999	0802	99.0
1999	0803	90.0
1999	0804	87.1
1999	0805	91.0
1999	0806	88.0
1999	0807	88.0
1999	0808	87.1
1999	0809	86.0
1999	0810	89.1
1999	0811	88.0
1999	0812	95.0
1999	0813	96.1
1999	0814	93.9
1999	0815	88.0
1999	0816	93.9
1999	0817	90.0
1999	0818	91.9
1999	0819	91.0
1999	0820	87.1
1999	0821	91.0
1999	0822	90.0
1999	0823	89.1
1999	0824	90.0
1999	0825	91.9
